Gremio/empresa interesada,Pais,Producto,Tipo,Ingreso de Solicitud, Inicio,Fecha ultima gestión,Fecha apertura,Estado,Observaciones
,México,Lana peinada de ovino,Apertura,,1/03/2015,30/05/2016,Nov-16,Finalizado,30.05.2016: En carta SAG N° 3444/2016 se adjunta CZE
,México,Pizzas,Apertura,,1/07/2016,14/11/2016,,Pendiente SAG.  Debe enviar fichas técnicas. ,"14.11.2016: AA solicita a al SAG las fichas técnicas de cada producto para continuar con esta gestión. Se trata de pizzas de jamón, jamón serrano, pepperoni, y salame, en donde México requiere revisar la especie animal de los ingredientes, además de ver si se sometieron a algún proceso térmico y bajo qué condiciones de temperatura."
,México,Abejas para reproducciòn ,Apertura,,1/06/2016,30/06/2016,,Pendiente SENASICA ,"06.04.17 en carta SAG N°2358/2017, da respuesta al oficio No. B00.02.03.01.01.-0642, se adjunta modelo de certificado zoosanitario solicitado. Señalando estar de acuerdo en los puntos mencionado en la propuesta.  Sin embargo, propone eliminar el requisito del punto 7, ya que el SAG no tiene competencia para certificar las Buenas prácticas de producción."
,México,Trofeos de caza sin montar,Apertura,AA,1/06/2016,13/09/2016,,Pendiente SENASICA,13.09.2016 Enviados CZE originales a AA.
,México,"Aves de exhibición y zoológicos (Goura victori, Paradisaea rubra, y Himantopus himantopus)",Apertura,,20/10/2014,20/10/2014,,Pendiente SENASICA ,"18.03.2016: En carta SAG N°1669/2016 se adjunta modelo de CZE, que incluye, la certificación solicitada en el Oficio No. B00.02.03.01.01.-0126-16 1461 de SENASICA. "
,Bangladesh,Tops de lana peinada de oveja,Apertura,,4/12/2015,10/02/2016,,Pendiente SAG,"SAG (nota 7310/2015) solicita requisitos zoosanitarios para exportar este producto. La autoridad de Bangladesh responde que serán aplicables las normas sanitarias  recomendadas por la OIE. Por otra parte, se requiere un certificado de la autoridad competente."
,China,Equinos vivos,Apertura,CCI 2015-2016,1/01/2013,16/03/2017,,Pendiente interesado,"China dio una respuesta positiva a la evaluación para importación. Como lo siguiente es que visiten Chile, se buscó respuesta de parte de los interesados: Criadores FSC S.A. Aún a la espera de su decisión. Posteriormente DPP se dirige directamente a Criadores FSC S.A. vía correo, sin respuesta."
,China,Pigmento Astaxantina,Apertura,Privados,1/03/2016,8/04/2016,,Tema Detenido,Se consulta a AA si el cuestionario requerido por AQSIQ es el mismo que solicitó completar para Saboripet.No se prioriza cuestionario en priorizaciones CCI 2016-2017.
,China,Bovinos engorda /Modificación protocolo Bovinos vivos,Apertura,SAG,29/06/2016,9/01/2017,,Pendiente SAG,"AQSIQ responde carta SAG N° 4476/2016, adjuntando cuestionario que SAG debe llenar para iniciar proceso de apertura.DAI reenvía cuestionario de Rusia para animales vivos con respuestas de la división, para avanzar con éstas en los otros cuestionarios para apertura de bovinos vivos (China y Japón), y envia respuestas solicitadas. "
,China,Bovinos vivos,Apertura,Privados,1/06/2012,6/11/2014,Nov-14,Abierto,Se firma el protocolo que regula la exportación de vaquillas en pie desde Chile a China. Mercado abierto. Noviembre 2014
,China,Cueros ovinos ,Apertura,,,26/07/2013,Jul-13,Abierto,"Por correo de AA a Nicolás Simunovic, se informa que China aceptó la exportación de cueros ovinos."
,China,Cueros secos de bovino y ovino,Facilitación,,1/01/2013,17/02/2016,Feb-16,Finalizado,AA informa que a partir del 1 de abril se puede empezar a utilizar el nuevo certificado para cueros ovinos y bovinos
Mafrisur /Faenacar,China,"Subproductos comestibles de bovinos, ovinos y caprinos",Apertura,CCI 2016-2017,1/10/2016,26/12/2016,,Pendiente AQSIQ,"12.10.2016: Se solicita a DPP hacer llegar listado de todos los subproductos bovinos exportables, para adjuntar este archivo a la solicitud oficial de requisitos zoosanitarios. 24.10.2016: Se solicita listado de subproductos ovinos para ampliar el grupo. 17.11.2016: DPP hace llegar listado de subproductos bovinos y ovinos, sin embargo se quiere analizar el ítem “tripas” con la División. 26.12.2016: Por carta SAG N°7710/2016, se solicitan requisitos zoosanitarios y se adjunta listado de subproductos bovinos y ovinos de interés."
,China,Tripas saladas de cerdo,Nuevo CZE ,SAG,17/12/2015,14/09/2016,Sep-16,Abierto,Trámites internos de AQSIQ finalizados. A partir de este momento se puede utilizar el nuevo CZE para exportar tripas a China.  El link del listado para establecimientos de carne de Chile es: http://www.cnca.gov.cn/ywzl/gjgnhz/jkzl/imports-list/meat/Chile20160121.pdf
,China,Miel de abejas y productos apícolas,Apertura,Gremio,1/11/2012,7/02/2017,,Pendiente SAG,"21.11.2016: Se realiza vista de inspectores Chinos. Durante vista China solicita que se envie informacion adicional, tanto de miel como de productos apícolas de interés de Chile. 27.12.2016: Mediante carta SAG N°7724 y N°7725 se adjunta información de productos apícolas y abejas reinas. 07.02.2017: AA envía nota de AQSIQ e Informe de evaluación sobre el sistema administrativo de inocuidad del producto de miel (en chino) y Borrador del Protocolo sobre los requisitos de inspección, cuarentena y sanidad para la importación de miel de Chile a China ( Borrador en chino e inglés ).  Se solicita a AA traducción del Informe.
"
,China,Saborizantes para alimentos de mascotas,Apertura,CCI 2015-2016,20/12/2014,22/09/2016,,Pendiente SAG,17.02.2016: Se recibe HE N°12646 con las respuestas al cuestionario de parte de alimentos.Cuestionario Finalizado y traducido.  Pendiente informe de vigilancia 2015.
,China,Grasa de tapapecho de bovino,Apertura,Privados,22/07/2016,22/07/2016,Jul-16,Abierto,"DPP informa interés del establecimiento KARMAC (09-31) de exportar a China el producto Frozen Beef Brisket Fat / Grasa de tapapecho de bovino. Al tratarse de grasa, según el protocolo acordado entre AQSIQ y SAG sobre “requisitos sanitarios de cuarentena y veterinarios de carne bovina congelada para exportar de Chile a China”, puntualmente en su Art. N° 13 indica que “carne bovina significa la parte comestible de ganado bovino faenado que no incluyan vísceras”. AA confirma que se puede exportar grasa de tapapecho bovino a China bajo el protocolo firmado"
,China,Productos de Alfalfa,Apertura,,1/01/2015,5/08/2016,,Tema Detenido,"AQSIQ mandó una nota formal para explicar los pasos que se deben seguir para lograr la autorización de China, incluyendo un cuestionario que debe ser rellenado. Dicho cuestionario se estaba traduciendo para ser contestado. Se considera la postergación del mismo, dado que se trata de una apertura compleja."
,China,Baba de caracol,Apertura,SAG,16/11/2015,4/08/2016,,Pendiente interesado,Se debe enviar información solicitada por AQSIQ (Detalles minuta marzo 2017).
Pesquera TAMAI Ltda.,China,Filete de salmón envuelto en tocino,Apertura,SAG,9/08/2016,15/12/2016,,Pendiente SAG,"11.10.2017: AA responde que AQSIQ indicó que como el salmón congelado está autorizado a exportar a China, y la carne de cerdo también está autorizado a exportar a China, teóricamente este producto compuesto debe ser permitido a exportar a China, en condiciones de que los materiales de prima provienen de plantas habilitadas. Sin embargo, es mejor que el importador chino consulte al CIQ del puerto directamente, ya que ellos son las personas que toman la primera decisión. 12.10.2016: Se deriva la respuesta a DPP, que a su vez deriva la respuesta a la Región de Los Lagos. 15.12.2016: Se consulta a DPP por novedades. No han respondido desde Región de Los Lagos."
,China,Huevos fértiles de aves de corral,Apertura,Gremio,15/12/2015,19/01/2016,,Pendiente interesado,"Por HE N°4097/2016 se adjunta cuestionario y se recuerda a DPP que las aperturas complejas deben ser priorizadas por el CCI para ser considerado en el futuro. Se reenvía a ODEPA este interés para solicitar a interesado presentar su interés para CCI 2016-20017, ODEPA indica que no hubo respuesta de éstos (Detalles minuta marzo 2017)."
,China,Productos cárnicos de aves y cerdos,Apertura,Gremio,30/12/2015,16/05/2016,,Pendiente priorización,"AQSIQ responde Nota SAG N°7821, señalando para que para todos los productos  (ahumados, cocidos u otros), se debe cumplir con el proceso completo de  acceso al mercado. Se debe entregar una solicitud oficial para autorizar la exportación de cada producto, de uno en uno, y el proceso normal consiste en entregar la solicitud, rellenar el cuestionario, hacer el análisis de riesgo, efectuar una visita en terreno, establecer y convenir un protocolo, entre otros. Se informa al gremio (Detalles minuta marzo 2017)."
ASPROCER,China,Subproductos de cerdo,Apertura,Gremio,1/10/2012,11/07/2014,Jul-14,Tema Detenido,"Seguiría el mismo camino que los productos de cerdo.  AQSIQ informa que se debe hacer otro protocolo. Subproductos actualmente autorizados: corazón, hígado, patas y cabeza (Detalles minuta marzo 2017)."
,China,Detección de Influenza aviar H7,Mantención,,4/01/2017,,,Pendiente SAG," Por carta SAG N°25/2017 se comunica a AA la detección de un caso  circunscrito a un plantel de pavos ubicado Quilpué – Valparaíso, el día 30 de Diciembre de 2016, situación que se ha comunicado a la OIE. Se indica que aún se investiga el nivel de patogenicidad del virus, para determinar las medidas sanitarias a  implementar para mantener el comercio.
"
,China,"Certificados cárnicos de ave, bovinos, ovinos y porcinos",Mantención,AQSIQ,30/03/2016,18/04/2017,,Pendiente AQSIQ,"09.01.2017: AA señala que la primera semana de diciembre de 2016 se enviaron los 4 certificados pecuarios modificados a AQSIQ para su revisión y aprobación, y la semana pasada llamó a AQSIQ para consultar por status, la respuesta fue que el trabajo todavía está en proceso. 18.04.2017: Se insiste al AA por inquietud en este tema."
,China,Carne bovina y ovina/caprina,Apertura,Gremio,,1/06/2012,Jun-12,Finalizado,Se firman dos protocolos de exportación para carnes de bovinos y ovinos/caprinos.
,China,Certificación electrónica ,MoU ,,,28/01/2016,Jan-16,Finalizado,"El 28 de enero 2016 Se firma MoU para extender la certificación electrónica a todos los productos agropecuarios. Se discontinúa el envío de pre-notificaciones para productos cárnicos de ave, ovino y bovino a partir del 01.09.2016 (más detalles en minuta diciembre de 2016)"
,China,Requisito de usar certificados oficiales para alimentos importados (AQSIQ) / NOTIFICACIÓN G/SPS/N/CHN/121/Rev.1,Mantención,CIQ-AQSIQ,18/02/2015,20/04/2016,,,"Esta medida entró en vigor el 20 de abril de 2016, y tiene 18 meses como periodo de transición. A partir del primer día de octubre de 2017, los alimentos importados que no tienen el certificado oficial comprobado por AQSIQ no van a poder entrar a China. Tema que analizará Minsal (detalles en minuta diciembre 2016)"
,China,Lácteos (CZE),Modificación CZE,CIQ-AQSIQ,22/10/2016,6/12/2016,,Pendiente China,"Colun informó que la Autoridad China no estaría otorgando el certificado que permite la comercialización del producto, ya que los CZE emitidos no incluyen los números de lotes y fechas de producción. 11.11.2016: Colún comunicó que China permitió  el ingreso por esta vez de los productos avalados por los CZE, pero para futuros embarques solicitarán dicha información, (situación que no está oficializada). 06.12.2016: AA informa que el CIQ Huangpu ya ha informado al CIQ de la provincia de Guangdong acerca de los CZE que se mencionan, solicitando que se debería incorporar los números de lotes y fechas de producción con miras al futuro trabajo de CIQ. De acuerdo con dicha solicitud, el CIQ de la provincia de Guangdong lo informará a AQSIQ. "
ASOCIACIÓN GREMIAL,China,Subproductos de aves,Apertura,Gremio,1/11/2011,,,Pendiente priorización,"Tema en espera, se acuerda con la Asociación Gremial en el 2013, que este tema se postergará para priorizar la apertura del mercado de subproductos de cerdo. AQSIQ informa que se debe hacer otro protocolo.No se ha incluido en priorizaciones CCI 2016-2017. "
,Corea del Sur,Hamburguesas de bovino (Karmac),Apertura,CCI 2015-2016,10/05/2015,5/10/2015,Oct-15,Tema Detenido,"Para habilitar la exportación de hamburguesas, se debe solicitar a la autoridad coreana (MAFRA) que realice el análisis de riesgo de importación de productos procesados de carne bovina el cual corresponde al protocolo con ocho etapas. Se consultará nuevamente una vez que se acuerde el CZE para productos procesados cárnicos con MFDS."
,Corea del Sur,Carne de ovinos y subproductos,Apertura,CCI 2014-2015,28/08/2012,5/02/2016,,Pendiente SAG,"En proceso de respuesta de cuestionario.05.02.2016: AA envía la nota MFDS International Cooperation Division 739, en ésta se informa, entre otros aspectos, que la carne de ovino será conducido por el MFDS  después de que MAFRA/QIA termine el análisis de riesgo de importación."
,Corea del Sur,Miel,Apertura,Privados,1/06/2016,10/09/2016,Sep-16,Abierto,"Las muestras de miel sin valor comercial, que se envían para más análisis en Corea, están exentas de cumplir requisitos, inclusive de declararla a MDFS. En caso de exportación comercial de miel, debe ser declarada. Los establecimientos donde se ha empacado la miel deben ser registrados ante MFDS según el procedimiento del “Foreign Food Facility” por el propietario de la instalación o el importador. Por la misma razón, QIA no exige ningún documento para control zoosanitario. Todos los documentos necesarios deben ser presentarse ante MFDS por el importador (Ver minuta Noviembre 2016)."
,Corea del Sur,Detección de Influenza aviar H7,Mantención,SAG,4/01/2017,5/01/2017,,Pendiente SAG," Por carta SAG N°21/2017  y  N°61/2017se comunica a MFDS y a MAFRA respectivamente, la detección de un caso  circunscrito a un plantel de pavos ubicado Quilpué – Valparaíso, el día 30 de Diciembre de 2016, situación que se ha comunicado a la OIE. Se indica que aún se investiga el nivel de patogenicidad del virus, para determinar las medidas sanitarias a  implementar para mantener el comercio.
"
,Corea del Sur,Autorización nuevos establecimientos interesados en exportar,Mantención,SAG,30/05/2016,25/12/2016,,Pendiente SAG,"Implementación Acta Especial para Control de la Seguridad de Alimentos Importados: Los establecimientos para exportación de productos pecuarios a Corea deben ser habilitados tanto por el MFDS como por QIA. 25.12.2016: C. Baek adjunta Nota MFDS International Cooperation Office 10061, que informa que las actividades de los establecimientos Comafri y Faenadora Lo Miranda han sido modificadas según lo solicitado. Sin embargo, Faenadora Lo Miranda está aprobado por QIA para “slaughter/cutting/storage” de carne de aves y la exportación de carne procesada de aves no se puede realizar hasta que QIA apruebe la actividad de “processing” de carne de aves (Historial en doc.""Autorización nuevos establecimientos interesados en exportar"", Carpeta Corea 2017)."
,Corea del Sur,"CZEs productos pecuarios (lácteos, carne bovina y subproductos comestibles, carne de ave, cerdo y bovino, cárnicos procesados) Notificación G/SPS/N/KOR/525",Mantención,SAG,26/01/2016,26/04/2017,,Pendiente SAG- QIA/MFDS,"CZEs lácteos y cárnicos procesados: Se acuerda con QIA y MDFS la emisión de certificados, original a QIA y primera copia para MFDS. Se adicionaría certificado BSE para carne bovina y subproductos comestibles. MFDS acepta CZE para carne aves, cerdos y bovinos. Para lácteos, se publicará nuevo formato en el sitio web del SAG la primera semana de mayo de 2017. CZEs procesados cárnicos: pendiente modelo acordado en común por QIA/MFDS (Historial en doc.""CZEs productos pecuarios"", Carpeta Corea 2017)."
,Corea del Sur,Tops de Lana de Oveja Peinada,Apertura,Privados,1/03/2016,6/04/2016,Apr-16,Abierto,"AA indica que el Sr. Lee, Dokyung de la División Animal Quarantine/Depto. Animal Disease Control & Quarantine de QIA,  informó que no hay requisitos zoosanitarios para el ingreso de Wool top a Corea por su alto grado de procesamiento (Ver minuta octubre 2016).  "
,Hong kong,Detección de Influenza aviar H7,Mantención,,4/01/2017,,,Pendiente SAG," Por carta SAG N°20/2017 se comunica a Agregaduría Comercial la detección de un caso  circunscrito a un plantel de pavos ubicado Quilpué – Valparaíso, el día 30 de Diciembre de 2016, situación que se ha comunicado a la OIE. Se indica que aún se investiga el nivel de patogenicidad del virus, para determinar las medidas sanitarias a  implementar para mantener el comercio.
"
,Hong kong,Carne de burro,Apertura,,4/05/2016,11/05/2016,May-16,Tema Detenido,Sin posibilidades de trabajar apertura.
,Hong kong,Leche UHT,Apertura,,29/05/2015,30/06/2016,,Pendiente SAG,Debe solicitar información a regiones. Se requiere permiso previo de la fuente de fabricación por el Centro de Sanidad Alimentaria de HK. Los exportadores de leche deben seguir las indicaciones del sitio:         http://www.cfs.gov.hk/english/import/import_icfsg_05.html
,Hong kong,Miel ,Apertura,SAG,2/11/2016,4/11/2016,,Pendiente Hong kong,Se solicit a AC gestionar requisitos zoosanitarios para enviar propuesta de CZE. Para exportar miel se requeriria CZE y certificado de origen
FAENACAR ,India,Carne y subproductos de ovino,Apertura,Privado,1/03/2013,1/10/2015,Aug-15,Tema Detenido,DPP sugiere conseguir modelos de Australia y Nueva Zelanda (condición sanitaria similar a Chile) para tomar en cuenta sus requisitos.
,India,Aves de corral y subproductos,Mantención,India,19/09/2016,1/02/2016,Feb-16,Finalizado,"India estableció un nuevo requisito para los productos de aves de corral señalando que los mencionados productos avícolas deberán proceder de país, zona o compartimento libre de influenza aviar. En febrero de 2017 India notificó modificaciones a este requisito, señalando que se entenderá por país, zona o compartimento lo que define el acuerdo de medidas sanitarias y fitosanitarias de la OMC.  "
,Taiwan ,"Carne de ave, cerdo, bovino y ovino",Apertura,,1/01/2007,31/03/2017,,Pendiente Chile a fin de llegar a una estrategia comun para enfrentar esta apertura. ,"Se reactiva tema  durante  oct. 2016 debido al interes de exportar carne bovina. La Agregaduría Comercial indica ha venido realizando un trabajo de presión con el MOFA y el BOFT. La decisión de dar acceso a mercado en Taiwán no involucra únicamente a los organismos técnicos (BAPHIQ/TFDA) sino que intervienen MOFA, BOFT y el COA, por lo que la decisión tiene un cariz más bien político. Además Taiwán argumenta que no cuenta con los recursos económicos para visitar Chile y no puede recibir financiamiento de terceros. Solo ha analizado la información en relación a ovinos. SAG en conjunto con DIRECON debe seguir avanzando en posibilidad de flexibilización. 31.03.2017: Se realiza visita a Punta Arenas de una delegación de la Oficina Económica y Cultural de Taipéi. Esta visita correspondió a una solicitud a Prochile, para apoyar la elaboración de una agenda con empresas exportadoras de carne de cordero y de productos del mar. El objetivo fue conocer dichas empresas y poder explorar y realizar las gestiones de coordinación para la posible apertura del mercado de carne ovina hacia Taiwán. Direcon indica que puede coordinar una reunión durante el presente año con la delegación de Taiwán en Chile"
,Taiwan ,Detección de Influenza aviar H7,Mantención,,6/01/2017,,,Pendiente SAG," Por carta SAG N°95/2017 se comunica a Agregaduría Comercial  que los resultados obtenidos por las pruebas de laboratorio realizadas en Chile y Estados Unidos, han determinado que el virus es de baja patogenicidad, información que también se ha notificado a la OIE.
"
,India,Lacteos,Apertura,Privado,11/10/2012,1/11/2014,Nov-14,Abierto,"17.11.2014: India comunica que acepta la propuesta de Certificado para estos productos. Dado que India no realiza visita de habilitación, ni tampoco  publica los requisitos de exportación acordados en cada caso, se puede considerar que se ha logrado la apertura de mercado y los interesados pueden iniciar las exportaciones. No es necesario enviar listado de establecimientos, sólo se requiere señalar que el producto proviene de un establecimiento autorizado cada vez que se emita certificado. India utiliza PZI. "
ASPROCER,Australia,Carne de cerdo,Apertura,CCI 2012-2013,1/05/2012,15/06/2012,,Australia no importa carne de cerdo de ningún pais. Detenido.,"Australia señala pasos a seguir. DPP evalúa resultados del IRA, para ver la factibilidad de cumplir los requisitos, para ello sostiene una reunión con ASPROCER, quien señalará si en términos comerciales se justifica continuar con esta acción.  Sin avance, no innovar."
EXPORLAC,Australia,Lácteos,Apertura,,1/04/2014, 21-10-2016 ,Dec-16,Abierto,"El 22.12.2016 recibida Nota Verbal No. CH 129/16, confirmando la aprobación de los modelos de certificados sanitarios para productos lácteos hacia Australia. "
INTECAR,Australia,Carne de ave ,Apertura,,1/03/2008,25/10/2016,,Pendiente SAG,"Tema planteado como preocupación comercial el 15.10.2015. 25.10.2016: Se sostiene reunión con gremios de carne de aves y cerdos en ODEPA, SAG informa los problemas y solicita decisión del gremio para continuar proceso de apertura, considerando recursos necesarios. El gremio indica que se debe avanzar. Dr. Gonzalez (DPP) indica que se está elaborando plan de vigilancia para Gumboro y caracterización viral, y salmonelas.
Se decide que DPP elaborará un plan junto con el gremio. "
,Australia,Cáscara de huevos de perdiz,Apertura,,14/03/2016,14/03/2016,May-16,Finalizado,"Australia entrega instrucciones para internar este producto. Si el producto está siendo importado con fines comerciales, se requerirá una declaración del productor que atestigüe la especie de ave de la cual han sido obtenidos los huevos, y una descripción de la preparación y procesamiento"
,Australia,Fibras de guanaco y otros Camélidos Sudamericanos ,Apertura,,26/03/2014,1/04/2017,,En revisión DPP,"En abril 2017 a través de Nota Verba No. CH 26/17, se recibe la propuesta de certificado zoosanitario para la exportación de fibra de camélidos de Chile a Australia. "
,Australia,Miel de abejas,Apertura,,1/01/2015,27/05/2016,,En revisión DPP,"Se trabaja en propuesta de certificado, que debe ser revisada y definida por la División Técnica. 30.06.2016: Se discuten requisitos con DPP, que ha revisado casos de otros países. Pendiente nueva revisión."
,Australia,"Reconocimiento de Chile como país con riesgo ""negligible"".",,,1/03/2013,1/01/2014,,Terminado,"DAFF hace entrega del informe final por medio del cual asigna a Chile dentro del estatus  “Categoría 1”. Se señala a su vez que para mantener el reconocimiento australiano, es necesario que Chile envíe anualmente un informe actualizado, que puede ser similar al requerido por la OIE."
,Australia,Reconocimiento de Chile como país libre de fiebre aftosa,,,1/05/2012,1/03/2014,Jun-13,Terminado,"13.06.2013: DAFF determina que Chile ha sido reconocido como un País libre de aftosa sin vacunación para fines comerciales. Ante la ausencia de comentarios del SAG, en marzo de 2014 Australia anuncia que se reconocerá a Chile como país libre de fiebre aftosa."
,Australia,"Tripas de ovino, bovino, caprino y porcino",Apertura,,20/02/2014,11/07/2014,,Terminado,"A raíz de un permiso de importación emitido por el DAFF, con validez hasta julio de 2014, se inicia la exportación de tripas.  DAFF comunica que se han establecido requisitos específicos, que se aplicarán a las partidas exportadas con posterioridad a la expiración del referido permiso de importación. Australia responde carta SAG del 20 de febrero del 2014,  sobre la negociación de los CZEs. Australia (Nota Verbal CH 102/14) informa que a partir del 10 de agosto del 2014 se espera que los cargamentos estén acompañados por el CZE acordado. Minuta agosto 2014."
,Australia,Alpacas,Apertura,,1/05/2016,15/06/2016,,Terminado,"16.06.2016: Se comunican los requisitos al interesado, el cual no responde frente a esta información. El Ministerio de Agricultura de Australia entrega información a través de su base de datos BICON. Además envía CZE con modificaciones.  "
,Australia,Equinos,Apertura,Privados,1/08/2016,27/09/2016,,Detenido,"La respuesta de Australia es de gran dificultad de cumplir, puesto que Chile deberá ser evaluado para verificar la admisibilidad como exportador de esta especie, dependiendo de la prioridad de Australia. "
,Japón,Cueros wet blue bovinos,Apertura,,1/01/2016,29/07/2016,,Pendiente MAFF,"Al ser un producto procesado los cueros wet blue no serán objetos de inspección y por lo tanto no necesitan certificado sanitario. De no ser el cuero suficientemente procesado, podría ser objeto de inspección y en ese caso debería adjuntar un certificado sanitario. Se recomienda que una vez que el importador tenga la información detallada del producto debe consultar a la cuarentena más cercana al puerto de ingreso para reconfirmar. Si el origen del cuero no es bovino, se debe consultar caso a caso. "
,Japón,Huevos fertiles ,Apertura,,1/12/2015,1/12/2016,,"Pendiente SAG.

",Tema se está gestionando con la región y con INTECAR pero el interesado no se ha pronunciado.
,Japón,Salchichas de cerdo con carne de distinta procedencia.,Apertura,,1/07/2016,18/08/2016,,Pendiente SAG.  ,Se debe enviar una propuesta de certificado que incorpore el país de origen de las carnes.
,Japón,Animales vivos,Apertura,,1/06/2016,23/11/2016,,Pendiente SAG. Se está completando cuestionario.,"DPP informa del atraso del llenado del cuestionario de Japón. Solicita conseguir con el MAFF el requisito específico para la Paratuberculosis, para el ingreso de bovinos a Japón (si este requisito es distinto para bovinos de engorda y reproducción solicita ambos) para  continuar con el llenado del cuestionario."
,Japón,Productos lácteos,Mantención,,1/08/2016,4/08/2016,,Pendiente Maff. Se espera información con modificaciones CZE,"AA informa que recibió información del MAFF donde se indica que los productos lácteos serán objeto de inspección, por tal razón van a modificar los reglamentos correspondientes (Act on Domestic Animal Infection Diseases Control). Esta información fue notificada a través de SPS el 2 de agosto de 2016."
,Japón,Equinos,Apertura,,1/08/2016,30/09/2016,,Pendiente SAG,"AA solicita información adicional de parte del MAFF con las siguientes consultas: 1. Los caballos a exportar son caballos de carreras internacionales y/o eventos ecuestres.
2. Los “eventos ecuestres”, son competencias deportivas en Japón y juegos olímpicos.
3. Es necesario priorizar entre bovinos vivos y equinos.

"
ASPROCER,Nueva Zelanda,Productos cárnicos de cerdo y ave,Apertura,,1/02/2011,18/10/2016,,Pendiente MPI,"Para carne de cerdo, el MPI recuerda que en las dos ocasiones en que Chile realizó su solicitud (2010 y 2014), esta entidad estaba actualizando su análisis de riesgo, trabajando hacia un estándar general de una manera muy cuidadosa, ya que la industria nacional había demandado al MPI, defendiendo su mercado. Sostienen que quizás el año 2016 podría haber un avance."
FAENACAR ,Nueva Zelanda,Productos cárnicos de bovino,Apertura,,,18/10/2016,,Pendiente MPI,Reunión bilateral de octubre de 2016 no se toco el tema.
INTECAR,Nueva Zelanda,Productos cárnicos aves,Apertura,,1/02/2011,18/10/2016,,Pendiente MPI,"MPI señala que  Nueva Zelandia está preparando un marco regulatorio general para este producto. Mientras tanto comentan que pueden enviarnos estándares de exportación para carnes de pato, para ponernos en contexto. "
,Nueva Zelanda,Cueros,Apertura,,1/10/2014,8/11/2014,8/11/2014,Mercado abierto. Noviembre 2014,Carta SAG N°6185/2014 con propuesta de CZE para la importación de cueros desde todos los países a Nueva Zelandia. 08.11.2014 DPP envía correo con formato final de certificado.
,Nueva Zelanda,Ovinos,Apertura,,,,,,"Detenido. No innovar. Los requisitos sanitarios ya existen, siempre que se cumplan se podría exportar. SAG consulta por el sistema de habilitación, NZ lo confirmará. DPP señala que sí existe interés, pero sugiere validar su aprobación en el CCI, debido a que NZ condiciona el tema a reciprocidad.  "
,Nueva Zelanda,Productos lácteos,Mantención,,1/11/2016,24/11/2016,,Finalizado,Los productos lácteos de Chile se pueden importar bajo el Estándar de Salud de Importación para productos lácteos y productos que contienen ingredientes lácteos de países específicos.
,Rusia,Carne de jabalies ,Apertura,,1/04/2014,19/07/2016,,Terminado,"Acordado CZE, y publicado en página web.  Pendiente SAG quien debe solicitar a Rosselkhoznadzor que habiliten las plantas especialmente para Jabalí.
"
,Rusia,CZE carne bovina y subproductos.,Facilitación,,1/10/2014,18/10/2016,,"Pendiente SAG.
","AA propone que, sería conveniente conocer la opinión de Rusia, para ver cuál alternativa es más conveniente para todos y que sea rápida de aprobar. Bielorrusia no acepta modificación del CZE proponiendo una redacción al punto 4.3 de CZE acorado, esto aplicaría solo a las exportaciones de Bielorrusia. Se debe buscar estrategia para agilizar tema. "
,Rusia,CZE leche y productos lácteos.,Facilitación,,1/10/2014,28/09/2016,,Pendiente Rusia.,"Tema trasladado a los EM. En reunión sostenida en Rusia en septiembre de 2016, se reitera solicitud de respuesta a esta solicitud. "
,Rusia,Exportación de bovinos vivos a Rusia/UEE: ,Apertura,,1/01/2015,17/11/2016,,Pendiente SAG,Se realiza visita de inspectores rusos del 7-14 de noviembre. En preparación cuestionario de apertura. Se realiza reunión de cierre de visita.
,Rusia,Lácteos,Otro,Cuestionario para visita de verifiación ,1/04/2015,24/04/2017,,Pendiente SAG,24.04.2017 Rosselkhoznadzor envía preguntas aclaratorias al cuestionario original.
,Turquía,Carne bovina,Apertura,,1/07/2011,21/04/2017,,Pendiente Turquía,"En reunión del III Comité conjunto Chile-Turquía, del TLC, realizada en Abril de 2015 en Turquía, la Autoridad Turca solicita que junto con el cuestionario para este producto, SAG remita una propuesta de CZE, con el listado de establecimientos interesados e invite al SVO turco para que se realice una visita de inspección. En agosto de 2015 se envía solicitud a la asistente del AC en la Embajada de Turquía, solicitando antecedentes de costos de apertura y procedimientos para la exportación de productos. Estamos en contacto con nueva AC en Turquía, eperamos sus colaboración luego de su visita a Chile en mayo 2017."
,Turquía,"Carnes y subproductos de ovinos, cerdos y aves",Apertura,,1/01/2010,20/04/2017,,Pendiente Turquía,"En abril de 2015 en reunión del III Comité conjunto Chile-Turquía, del TLC,  la AS Turca entregó un modelo de CZE para carne de ave y ovina. Sobre carne ovina, informo que se requiere interés de un importador turco. En el caso de carne de cerdo, no existe demanda.En diciembre de 2016 en CARTA Nº 7716/2016 SAG indica que da cumplimiento a los requisitos establecidos en el certificado entregado para exportar carne de ave a Turquía, sin embargo propone utilizar certifiacado UE, el cual da cumplimiento a lo establecido en el Reglamento 798/2008 de la Comisión Europea.
Asi mismo se solicito indicar el procedimiento para la autorización de los establecimientos chilenos que desean exportar a Turquía y los costos que involucra este proceso. Estamos en contacto con nueva AC en Turquía, eperamos sus colaboración luego de su visita a Chile mayo 2017.

"
